year,sex,name,n
0,F,LA,42777
0.116805556,F,LA,137679
0.173171296,F,LA,285477
0.334872685,F,LA,589134
0.369293981,F,LA,670451
0.425162037,F,LA,789463
0.472210648,F,LA,930880
0.520162037,F,LA,990773
0.562256944,F,LA,1002184
0.609375,F,LA,1010350
0.645613426,F,LA,1010713
0.68,F,LA,1011061
0.737372685,F,LA,1015970
0.797268519,F,LA,1019874
0.8490625,F,LA,1023209
0.895462963,F,LA,1042122
0.931296296,F,LA,1087146
1.021631944,F,LA,1037877
1.145706019,F,LA,1030513
1.229837963,F,LA,1023110
1.299560185,F,LA,1014718
1.376481481,F,LA,1074972
1.479560185,F,LA,1029615
1.521481481,F,LA,1026847
1.556226852,F,LA,1026278
1.646215278,F,LA,1019240
1.895671296,F,LA,1013118
1.959212963,F,LA,1014677
2.019965278,F,LA,1015954
2.125902778,F,LA,1013122
2.224351852,F,LA,1005349
2.290451389,F,LA,1005882
2.349386574,F,LA,1012861
2.52275463,F,LA,993271
2.56400463,F,LA,996082
2.730613426,F,LA,987802
2.917916667,F,LA,988659
3.06375,F,LA,986434
3.21650463,F,LA,987468
3.368923611,F,LA,987028
3.464699074,F,LA,964502
3.521099537,F,LA,952172
3.593206019,F,LA,907296
3.706770833,F,LA,915610
4.041863426,F,LA,904065
4.446759259,F,LA,904718
4.522395833,F,LA,884498
4.554212963,F,LA,882095
4.736493056,F,LA,849172
5.547037037,F,LA,753118
5.971157407,F,LA,695319
6.159490741,F,LA,706933
6.37505787,F,LA,678377
6.749976852,F,LA,629948
7.027210648,F,LA,591187
8.456481481,F,LA,456079
0,F,MS,0
0.116805556,F,MS,0
0.173171296,F,MS,0
0.334872685,F,MS,6300
0.369293981,F,MS,12930
0.425162037,F,MS,20489
0.472210648,F,MS,27896
0.520162037,F,MS,31465
0.562256944,F,MS,43016
0.609375,F,MS,57453
0.645613426,F,MS,64877
0.68,F,MS,71894
0.737372685,F,MS,93059
0.797268519,F,MS,102565
0.8490625,F,MS,113840
0.895462963,F,MS,130457
0.931296296,F,MS,135353
1.021631944,F,MS,122296
1.145706019,F,MS,104522
1.229837963,F,MS,94581
1.299560185,F,MS,91080
1.376481481,F,MS,81322
1.479560185,F,MS,66969
1.521481481,F,MS,64031
1.556226852,F,MS,62982
1.646215278,F,MS,60067
1.895671296,F,MS,60403
1.959212963,F,MS,56723
2.019965278,F,MS,54529
2.125902778,F,MS,48304
2.224351852,F,MS,44804
2.290451389,F,MS,41311
2.349386574,F,MS,38641
2.52275463,F,MS,30958
2.56400463,F,MS,28852
2.730613426,F,MS,29027
2.917916667,F,MS,33523
3.06375,F,MS,31294
3.21650463,F,MS,31370
3.368923611,F,MS,38182
3.464699074,F,MS,36655
3.521099537,F,MS,39636
3.593206019,F,MS,39078
3.706770833,F,MS,38778
4.041863426,F,MS,34199
4.446759259,F,MS,21516
4.522395833,F,MS,20680
4.554212963,F,MS,20878
4.736493056,F,MS,20860
5.547037037,F,MS,14930
5.971157407,F,MS,6769
6.159490741,F,MS,5886
6.37505787,F,MS,4437
6.749976852,F,MS,3216
7.027210648,F,MS,2898
8.456481481,F,MS,1408