id,name,rate,rate1,rate2,rate3
22001,Acadia,1.1,315,28591,0
22003,Allen,0,0,12724,0
22005,Ascension,80,46643,58304,0
22007,Assumption,64.87,6805,10490,0
22009,Avoyelles,0,0,21904,0
22011,Beauregard,0,0,22275,0
22013,Bienville,0,0,8952,0
22015,Bossier,0,0,61416,0
22017,Caddo,0,0,119697,0
22019,Calcasieu,0,0,100162,0
22021,Caldwell,0,0,6191,0
22023,Cameron,0,0,1806,0
22025,Catahoula,0,0,125,0
22027,Claiborne,3.84,360,9371,0
22029,Concordia,0,0,5134,0
22031,De Soto,0,0,14826,0
22033,East Baton Rouge,77.55,167565,216086,0
22035,East Carroll,0,0,3525,0
22037,East Feliciana,45,4669,10375,0
22039,Evangeline,0,0,18110,0
22041,Franklin,0,0,7227,0
22043,Grant,0,0,9363,0
22045,Iberia,1.3,454,34787,0
22047,Iberville,40,3635,9087,0
22049,Jackson,0,0,8918,0
22051,Jefferson,96.29,204115,211981,0
22053,Jefferson Davis,0,0,12338,0
22055,Lafayette,0,0,56810,0
22057,Lafourche,99.8,44147,44235,0
22059,La Salle,0,0,5845,0
22061,Lincoln,0,0,13301,0
22063,Livingston,85.8,58528,68218,0
22065,Madison,5,297,5937,0
22067,Morehouse,0,0,12665,0
22069,Natchitoches,8.52,1135,13327,0
22071,Orleans,94.95,183978,193765,0
22073,Ouachita,0,0,79791,0
22075,Plaquemines,100,12664,12664,0
22077,Pointe Coupee,2.15,110,5091,0
22079,Rapides,0,0,44068,0
22081,Red River,0,0,5114,0
22083,Richland,0.04,3,8978,0
22085,Sabine,0,0,17809,0
22087,St. Bernard,98,20078,20488,0
22089,St. Charles,98,22519,22979,0
22091,St. Helena,98,6822,6961,0
22093,St. James,97,9653,9952,0
22095,St. John The Baptist,95,18844,19836,0
22097,St. Landry,1.47,679,46099,0
22099,St. Martin,0.64,164,25611,0
22101,St. Mary,0,0,18981,0
22103,St. Tammany,88.73,113516,127932,0
22105,Tangipahoa,94.33,65199,69115,0
22107,Tensas,2,72,3609,0
22109,Terrebonne,97,26920,27753,0
22111,Union,0,0,13826,0
22113,Vermilion,2.2,503,22842,0
22115,Vernon,3,777,25913,0
22117,Washington,48.53,11979,24683,0
22119,Webster,0,0,16385,0
22121,West Baton Rouge,4.65,597,12840,0
22123,West Carroll,0,0,2590,0
22125,West Feliciana,3.3,211,6409,0
22127,Winn,0,0,5253,0
28001,Adams,40,6843,17108,0
28003,Alcorn,0,0,371,0
28005,Amite,100,11863,11863,0
28007,Attala,40.89,3077,7526,0
28009,Benton,0,0,836,0
28011,Bolivar,0,0,13452,0
28013,Calhoun,47.17,19,40,0
28015,Carroll,0,0,1278,0
28017,Chickasaw,0,0,698,0
28019,Choctaw,0,0,7186,0
28021,Claiborne,32.72,1730,5287,0
28023,Clarke,0,0,10017,0
28025,Clay,0,0,4548,0
28027,Coahoma,0,0,5854,0
28029,Copiah,41.05,6458,15732,0
28031,Covington,13,1499,11527,0
28033,Desoto,0,0,56863,0
28035,Forrest,3.87,1528,39457,0
28037,Franklin,65.91,5531,8391,0
28039,George,1,168,16819,0
28041,Greene,0,0,8898,0
28043,Grenada,0,0,11412,0
28045,Hancock,0,0,26306,0
28047,Harrison,9.99,10303,103105,0
28049,Hinds,12,13227,110223,0
28051,Holmes,3.41,168,4910,0
28053,Humphreys,0,0,2616,0
28055,Issaquena,2.85,0,5132,0
28057,Jackson,0,0,79224,0
28059,Jasper,0,0,11722,0
28061,Jeff Davis,0,0,7888,0
28063,Jefferson,23,1131,4917,0
28065,Jefferson Davis,0,0,7888,0
28067,Jones,0,0,35075,0
28069,Kemper,20,1152,5762,0
28071,Lafayette,0,0,24964,0
28073,Lamar,5,1641,32814,0
28075,Lauderdale,5,1857,37140,0
28077,Lawrence,20,1745,8726,0
28079,Leake,0,0,11413,0
28081,Lee,0,0,5022,0
28083,Leflore,5,66,1322,0
28085,Lincoln,72.64,13079,18006,0
28087,Lowndes,2.34,138,5889,0
28089,Madison,0,0,50058,0
28091,Marion,6.15,836,13592,0
28093,Marshall,0,0,1015,0
28095,Monroe,0,0,1963,0
28097,Montgomery,0,0,3721,0
28099,Neshoba,24.21,2747,11343,0
28101,Newton,0,0,12481,0
28103,Noxubee,4,410,10259,0
28105,Oktibbeha,0.61,46,7549,0
28107,Panola,0,0,18206,0
28109,Pearl River,0,0,29946,0
28111,Perry,2,146,7309,0
28113,Pike,80,16034,20043,0
28115,Pontotoc,0,0,2311,0
28117,Prentiss,0,0,397,0
28119,Quitman,3.92,158,4030,0
28121,Rankin,3.9,2880,73940,0
28123,Scott,0.66,97,14633,0
28125,Sharkey,3.98,78,1965,0
28127,Simpson,16.68,2658,15929,0
28129,Smith,0,0,10693,0
28131,Stone,1.06,101,9557,0
28133,Sunflower,0,0,8743,0
28135,Tallahatchie,0,0,7078,0
28137,Tate,0,0,13527,0
28139,Tippah,0,0,10921,0
28143,Tunica,0,0,5906,0
28145,Union,0,0,3326,0
28147,Walthall,96.9,8336,8602,0
28149,Warren,8,1744,21798,0
28151,Washington,10.54,1689,16023,0
28153,Wayne,13,1585,12192,0
28155,Webster,0,0,1312,0
28157,Wilkinson,97.23,5758,5922,0
28159,Winston,0,0,6988,0
28161,Yalobusha,0,0,5516,0
28163,Yazoo,7,93,1333,0